Date,Close/Last,Volume,Open,High,Low
09/17/2021,$3462.52,4616556,$3488.415,$3497.41,$3452.13
09/16/2021,$3488.24,2583598,$3459.96,$3492.55,$3446.1432
09/15/2021,$3475.79,2957537,$3442.52,$3485.42,$3402.01
09/14/2021,$3450,1936897,$3475.55,$3486.806,$3437.7104
09/13/2021,$3457.17,2569022,$3482.8,$3497.96,$3438.0001
09/10/2021,$3469.15,2397269,$3501.8308,$3508.45,$3462.9055
09/09/2021,$3484.16,2719241,$3526.02,$3549.99,$3480.37
09/08/2021,$3525.5,3053364,$3511.65,$3545.63,$3495.67
09/07/2021,$3509.29,2741184,$3478,$3528.09,$3476.94
09/03/2021,$3478.05,2578324,$3452,$3482.67,$3436.44
09/02/2021,$3463.12,2925594,$3494.76,$3511.9608,$3455
09/01/2021,$3479,3629911,$3496.396,$3527,$3475.24
08/31/2021,$3470.79,4356413,$3424.8,$3472.58,$3395.59
08/30/2021,$3421.57,3192244,$3357.425,$3445,$3355.22
08/27/2021,$3349.63,2402369,$3333.23,$3352.32,$3313.75
08/26/2021,$3316,2098761,$3299,$3332,$3296
08/25/2021,$3299.18,1680306,$3309.87,$3321,$3286.15
08/24/2021,$3305.78,2551841,$3280,$3315.4942,$3274.58
08/23/2021,$3265.87,3268131,$3211.9,$3280.9,$3210.005
08/20/2021,$3199.95,3358428,$3203.873,$3207.81,$3175.76
